Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,1Q,2Q,3Q,4Q,5Q,6Q,Total,Nett
5,MAGDALENA KWASNA,2999,POL,8.0,(17.0),10.0,2.0,2.0,10.0,-,-,-,-,-,-,-,2.0,(17.0),7.0,17.0,-,-,92.0,58.0
6,HERMANN TOMASGAARD,1886,NOR,(11.0),11.0,7.0,11.0,3.0,6.0,-,-,-,-,-,-,-,1.0,5.0,9.0,15.0,(35.0),3.0,117.0,71.0
6,"ANNE-JULIE SCHUTT, IBEN NIELSBY",316,,3.0,5.0,6.0,3.0,10.0,4.0,(26.0),5.0,6.0,25.0,18.0,3.0,-,-,-,-,-,-,-,117.0,91.0
6,SAMUEL KING,4308,AUS,20.0,30.0,(35.0),29.0,29.0,29.0,-,-,-,-,-,-,-,(43.0),14.0,15.0,3.0,1.0,1.0,249.0,171.0
6,"JOSEFIN
  OLSSON",2330,SWE,(36.0),7.0,15.0,3.0,1.0,3.0,-,-,-,-,-,-,-,4.0,12.0,15.0,(25.0),-,-,121.0,60.0
6,"LOGAN DUNNING BECK, OSCAR GUNN",2860,,8.0,2.0,12.0,4.0,(15.0),7.0,12.0,14.0,5.0,3.0,4.0,3.0,8.0,-,-,-,-,-,-,105.0,90.0
6,MAURA DEWEY,3348,CAN,31.0,(54.0),32.0,31.0,(40.0),-,-,-,-,-,-,-,-,24.0,12.0,9.0,9.0,1.0,-,243.0,149.0
6,WILLIAM DE SMET,5141,BEL,21.0,19.0,18.0,12.0,(29.0),(27.0),-,-,-,-,-,-,-,14.0,8.0,1.0,21.0,4.0,8.0,182.0,126.0
7,LUKE ELLIOTT,2961,AUS,3.0,6.0,2.0,1.0,(10.0),5.0,-,-,-,-,-,-,-,6.0,10.0,15.0,14.0,(24.0),10.0,106.0,72.0
7,FRANCISCO GUARAGNA RIGONAT,1529,ARG,10.0,19.0,16.0,(28.0),18.0,11.0,-,-,-,-,-,-,-,20.0,2.0,(22.0),18.0,10.0,12.0,186.0,136.0
7,"JONAS WARRER, JAKOB PRECHT JENSEN",2296,,14.0,17.0,3.0,(23.0),1.0,5.0,5.0,6.0,3.0,13.0,11.0,10.0,2.0,-,-,-,-,-,-,115.0,92.0
7,MINA FERGUSON,3499,AUS,7.0,16.0,(37.0),31.0,35.0,-,-,-,-,-,-,-,-,(41.0),15.0,18.0,22.0,5.0,-,227.0,149.0
7,"PARIS HENKEN, ANNA TOBIAS",3880,USA,7.0,15.0,(20.0),1.0,4.0,1.0,7.0,14.0,15.0,1.0,12.0,7.0,-,-,-,-,-,-,-,111.0,91.0
7,LUKE RUITENBERG,2963,CAN,24.0,28.0,28.0,(30.0),(32.0),22.0,-,-,-,-,-,-,-,3.0,8.0,19.0,24.0,10.0,7.0,235.0,173.0
7,DAPHNE VAN DER VAART,1044,NED,11.0,(21.0),9.0,6.0,4.0,6.0,-,-,-,-,-,-,-,27.0,(36.0),1.0,3.0,-,-,124.0,67.0
8,KHAIRULNIZAM MOHD AFENDY,2555,MAS,(23.0),23.0,20.0,(26.0),18.0,18.0,-,-,-,-,-,-,-,8.0,13.0,10.0,16.0,12.0,5.0,192.0,143.0
8,"ATHANASIA
  FAKIDI",405,GRE,23.0,32.0,(39.0),(40.0),33.0,-,-,-,-,-,-,-,-,29.0,6.0,11.0,12.0,8.0,-,233.0,154.0
8,"ANNEMIEK BEKKERING, ANNETTE DUETZ",321,NED,13.0,2.0,(16.0),11.0,12.0,2.0,11.0,9.0,2.0,12.0,10.0,4.0,-,-,-,-,-,-,-,108.0,92.0
8,SAM MEECH,4288,NZL,5.0,5.0,5.0,5.0,1.0,(10.0),-,-,-,-,-,-,-,14.0,6.0,10.0,18.0,17.0,(26.0),122.0,86.0
8,YUICHIRO KITAMURA,5237,JPN,27.0,(30.0),25.0,26.0,(34.0),24.0,-,-,-,-,-,-,-,10.0,13.0,3.0,11.0,20.0,15.0,238.0,174.0
8,MANAMI DOI,3044,JPN,6.0,4.0,7.0,(19.0),5.0,7.0,-,-,-,-,-,-,-,22.0,1.0,(27.0),15.0,-,-,113.0,67.0
8,"DYLAN FLETCHE, R-SCOTT, STUART BITHELL",1189,,1.0,1.0,2.0,13.0,7.0,(27.0),3.0,3.0,17.0,17.0,23.0,5.0,3.0,-,-,-,-,-,-,125.0,98.0
9,MAXIME MAZARD,3376,FRA,4.0,8.0,8.0,24.0,(36.0),23.0,-,-,-,-,-,-,-,2.0,28.0,(29.0),14.0,17.0,21.0,214.0,149.0
9,STIJN PAARDEKOOPER,4617,NED,28.0,(36.0),(36.0),32.0,30.0,34.0,-,-,-,-,-,-,-,17.0,3.0,5.0,5.0,16.0,8.0,250.0,178.0
9,"JUSTUS SCHMIDT, MAX BOEHME",2439,GER,13.0,11.0,(18.0),3.0,3.0,4.0,7.0,4.0,6.0,10.0,10.0,14.0,10.0,-,-,-,-,-,-,123.0,105.0
9,"TINA LUTZ, LOTTA WIEMERS",4825,,1.0,2.0,2.0,19.0,10.0,11.0,(24.0),24.0,4.0,4.0,3.0,6.0,-,-,-,-,-,-,-,116.0,92.0
9,CORALIE VITTECOQ,952,CAN,9.0,(39.0),29.0,(38.0),25.0,-,-,-,-,-,-,-,-,35.0,27.0,7.0,4.0,23.0,-,236.0,159.0
